column number,name,alias,definition,source
1,rwnm_x,rowname.x,rowname,internal
2,id,id,id,internal
3,STATE,STATE,CT (Connecticut),Census
4,COUNT,COUNTY,County,Census
5,CITY,CITY,New Haven,Census
6,Nghbr,Neighborhood,Neighborhood,DataHaven
7,REGIONID_x,REGIONID.x,"ID provided by DataHaven, likely based on Census FIPS codes (but not really not sure)",Census
8,Tp_2017,Total population_2017,Total population in 2017,DataHaven
9,Pp18_2017,Population under age 18_2017,Population under age 18 in 2017,DataHaven
10,Pr18_2017,Percent under age 18_2017,Percent under age 18 in 2017,DataHaven
11,Pp65_2017,Population ages 65+_2017,Population ages 65+ in 2017,DataHaven
12,Pr65_2017,Percent ages 65+_2017,Percent ages 65+ in 2017,DataHaven
13,L_2017,Latino population_2017,Latino population in 2017,DataHaven
14,PL_20,Percent Latino_2017,Percent Latino in 2017,DataHaven
15,W_201,White population_2017,White population in 2017,DataHaven
16,Pw_2017,Percent white_2017,Percent white in 2017,DataHaven
17,B_201,Black population_2017,Black population in 2017,DataHaven
18,Pb_2017,Percent black_2017,Percent black in 2017,DataHaven
19,O_201,Other race population_2017,Other race population in 2017,DataHaven
20,Pr_201,Percent other race_2017,Percent other race in 2017,DataHaven
21,F_20,Foreign-born population_2017,Foreign-born population in 2017,DataHaven
22,P_20,Percent foreign-born_2017,Percent foreign-born in 2017,DataHaven
23,Th_2017,Total households_2017,Total households in 2017,DataHaven
24,O_20,Owner-occupied households_2017,Owner-occupied households in 2017,DataHaven
25,H_2017,Homeownership rate_2017,Homeownership rate in 2017,DataHaven
26,C_h_201,Cost-burdened households_2017,Cost-burdened households in 2017,DataHaven
27,C_r_201,Cost-burden rate_2017,Cost-burden rate in 2017,DataHaven
28,Ps_201,Poverty status known_2017,Poverty status known in 2017,DataHaven
29,Pp_201,Population in poverty_2017,Population in poverty in 2017,DataHaven
30,Pr_2017,Poverty rate_2017,Poverty rate in 2017,DataHaven
31,L_p_201,Low-income population_2017,Low-income population in 2017,DataHaven
32,L_r_201,Low-income rate_2017,Low-income rate in 2017,DataHaven
33,U18_p,"Under 18, poverty status known_2017","Under 18, poverty status known in 2017",DataHaven
34,Cip_201,Children in poverty_2017,Children in poverty in 2017,DataHaven
35,Cpr_201,Child poverty rate_2017,Child poverty rate in 2017,DataHaven
36,L_c_201,Low-income children_2017,Low-income children in 2017,DataHaven
37,Cl_20,Child low-income rate_2017,Child low-income rate in 2017,DataHaven
38,A65_p,"Ages 65+, poverty status known_2017","Ages 65+, poverty status known in 2017",DataHaven
39,Sip_201,Seniors in poverty_2017,Seniors in poverty in 2017,DataHaven
40,Spr_201,Senior poverty rate_2017,Senior poverty rate in 2017,DataHaven
41,L_s_201,Low-income seniors_2017,Low-income seniors in 2017,DataHaven
